Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A6G9T12,349,6.0,0.0232395945518225,9.0
E1A6G9T13,350,6.0,0.0227513544994977,4.0
E1A6G9T14,336,7.0,0.0223884606912294,3.0
E1A6G9T15,330,6.0,0.0209085118788429,6.0
E1A6G9T16,353,7.0,0.0249469300978574,9.0
E1A6G9T17,360,6.0,0.0237631229567999,17.0
E1A6G9T18,348,6.0,0.0240019043471817,21.0
E1A6G9T19,346,6.0,0.0229490187665656,24.0
E1A6G9T2,355,7.0,0.0234859581190233,11.0
E1A6G9T20,315,6.0,0.0213512086642572,29.0
E1A6G9T21,329,7.0,0.0214228105877699,17.0
E1A6G9T22,328,6.0,0.021451638470433,17.0
E1A6G9T23,333,7.0,0.0209626286164582,5.0
E1A6G9T24,358,7.0,0.0242214796698225,13.0
E1A6G9T25,347,6.0,0.0225769080746072,3.0
E1A6G9T26,333,7.0,0.0204285959957025,6.0
E1A6G9T27,296,6.0,0.018726768400486,9.0
E1A6G9T28,309,6.0,0.0197773094995957,6.0
E1A6G9T29,309,7.0,0.0206921690625139,16.0
E1A6G9T3,302,7.0,0.0186096540545609,9.0
E1A6G9T30,355,7.0,0.0245806275356901,4.0
E1A6G9T31,352,6.0,0.0243760633056535,9.0
E1A6G9T32,304,6.0,0.0184173435401271,6.0
E1A6G9T33,362,7.0,0.023746257451362,11.0
E1A6G9T34,343,6.0,0.0227817851499903,3.0
E1A6G9T35,336,7.0,0.021995819863977,27.0
E1A6G9T36,318,7.0,0.021624460185881,3.0
E1A6G9T37,360,7.0,0.0246463347785612,3.0
E1A6G9T38,314,7.0,0.0208182636651301,5.0
E1A6G9T39,351,6.0,0.023463392815343,14.0
E1A6G9T4,329,7.0,0.0223451132271398,5.0
E1A6G9T40,313,6.0,0.0206601769819603,22.0
E1A6G9T5,327,7.0,0.0216716114160695,3.0
E1A6G9T6,338,7.0,0.0225097321809793,5.0
E1A6G9T7,348,7.0,0.0231160994268293,5.0
