Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A6G4T20,395,6.0,0.0001725165038456,4.0
E1A6G4T21,395,6.0,0.0001813845695023,
E1A6G4T22,385,6.0,0.0001525682829342,7.0
E1A6G4T23,341,6.0,0.000144081557386,
E1A6G4T24,384,6.0,0.0001413936551603,8.0
E1A6G4T25,378,6.0,0.0001899703016809,5.0
E1A6G4T26,343,6.0,0.0001253521588893,6.0
E1A6G4T27,416,6.0,0.0001942407796576,4.0
E1A6G4T28,382,6.0,0.0001901146778031,25.0
E1A6G4T29,385,6.0,0.0001613204748698,30.0
E1A6G4T3,365,6.0,0.0001502527053237,3.0
E1A6G4T30,388,6.0,0.0001684943971631,39.0
E1A6G4T31,349,6.0,0.0001426215093978,3.0
E1A6G4T32,374,6.0,0.0001618351741015,6.0
E1A6G4T33,417,6.0,0.0001777916809308,3.0
E1A6G4T34,375,6.0,0.0001542731342813,3.0
E1A6G4T35,396,6.0,0.0001789051236645,4.0
E1A6G4T36,354,6.0,0.0001431188759737,3.0
E1A6G4T37,405,6.0,0.0001869405927304,18.0
E1A6G4T38,380,6.0,0.0001355807681072,5.0
E1A6G4T39,371,6.0,0.0001598765097697,5.0
E1A6G4T4,367,6.0,0.0001566841048257,3.0
E1A6G4T40,348,6.0,0.0001331956065248,5.0
E1A6G4T5,432,6.0,0.0001999688568958,3.0
E1A6G4T6,371,6.0,0.0001490277941171,21.0
E1A6G4T7,395,6.0,0.000174554831998,3.0
E1A6G4T8,365,6.0,0.0001606515871454,5.0
E1A6G4T9,411,6.0,0.0001897526191204,16.0
E1A6G6T1,392,6.0,0.0018773254533492,4.0
E1A6G6T10,374,6.0,0.0015845991046481,6.0
E1A6G6T11,333,6.0,0.0013620417738584,37.0
E1A6G6T12,349,6.0,0.0013933113719559,4.0
E1A6G6T13,347,6.0,0.0015339104621924,26.0
E1A6G6T14,382,6.0,0.0016731606595396,31.0
E1A6G6T15,365,7.0,0.0016193544127847,8.0
E1A6G6T16,431,6.0,0.0019651388959355,5.0
E1A6G6T17,381,6.0,0.0016385300782891,5.0
E1A6G6T18,371,7.0,0.0016207423861921,4.0
E1A6G6T19,381,6.0,0.0016623833752636,20.0
E1A6G6T2,362,6.0,0.0016117882220607,16.0
E1A6G6T20,388,6.0,0.0016924963523106,17.0
E1A6G6T21,351,6.0,0.0014070555240694,29.0
E1A6G6T22,352,6.0,0.0013483406208746,8.0
E1A6G6T23,367,6.0,0.0016304047397295,5.0
E1A6G6T24,352,6.0,0.0014507749980149,5.0
